a-to-d,1
converter,10
absolutely,1
integral,14
signals,59
accumulator,1
system,94
adder,1
advanced,1
signal,330
alias,4
folded,1
principal,2
aliasing,37
folding,11
distortion,1
broadcast,1
radio,1
amplitude,59
double,1
sideband,1
dsbam,1
function,185
modulation,5
phase,63
plots,8
transmitted,19
carrier,6
modulator,1
analog,25
processing,8
analog-to-digital,1
conversion,8
angle,35
complex,167
number,147
argument,3
associative,1
property,3
convolution,38
audio,1
average,8
band-reject,1
filter,305
bandedges,1
bandlimited,1
interpolation,6
reconstruction,5
bandpass,59
bandstop,1
bandwidth,5
baseband,1
spectrum,26
beat,11
note,222
block-diagram,1
notation,127
block,8
diagrams,1
bode,1
c-major,1
scale,3
spectrogram,31
frequency,339
cartesian,4
form,72
cascade,3
connection,1
cascaded,13
lti,38
systems,13
causal,1
causality,1
definition,9
cconvdemo,3
cd,4
centralized,1
averager,5
chirp,30
cltidemo,5
colon,13
operator,8
commutative,1
compensation,1
effect,3
compensator,1
exponential,118
orthogonality,1
addition,22
division,1
multiplication,13
represented,18
vector,166
numbers,90
powers,21
roots,11
conjugate,14
symmetry,1
continuous-time,1
associativity,1
distributive,1
identity,1
element,11
fourier,25
transform,23
ctft,1
response,187
stability,3
finite-length,1
infinite-length,1
one-sided,1
right-sided,1
two-sided,1
differentiator,1
ideal,17
delay,9
integrator,1
impulse,63
squaring,1
unit-step,1
continuous-to-discrete,1
c-to-d,1
flip,2
shift,11
impulses,7
integrals,1
matlab,506
sum,62
formula,32
z-transform,1
cooley,1
cosine,29
waves,1
cubic,1
spline,1
cutoff,43
cyclic,1
data,2
window,51
dc,35
coefficient,29
component,9
term,10
deconvolution,1
delay-compensated,1
running-average,1
delayed,2
delta,2
demodulation,1
demoivre,1
demultiplexing,1
derivative,1
superscript,1
unit,27
step,5
dft,1
difference,22
equation,36
differentiation,1
integration,1
digital-to-analog,1
d-to-a,1
direct,1
current,3
structure,9
ii,77
dirichlet,1
discrete,30
evaluation,9
discrete-time,1
filtering,19
dtft,1
inverse,8
omega_hat,1
discrete-to-continuous,1
d-to-c,1
oversampling,1
distorting,1
double-sideband,1
doublet,1
dow-jones,1
industrial,1
sinc,27
dual-tone,1
multi-frequency,1
dtmf,51
duality,1
dummy,1
index,12
summation,1
variable,24
echo,1
model,1
effective,7
envelope,4
detector,1
euler,1
factoring,2
z-polynomials,1
fast,1
fft,1
fdm,1
feed-forward,1
coefficients,133
feedback,1
length,122
filtered,8
sampled,22
speech,9
finite,4
duration,22
fir,145
pulse,15
first-difference,1
first-order,1
fm,33
aliases,1
analysis,1
series,26
approximation,1
error,7
convergence,1
gibb,1
phenomenon,1
plot,104
square,15
wave,16
synthesis,19
constant,8
existence,1
train,1
limit,10
linearity,2
periodic,18
properties,6
uniqueness,1
pairs,6
flipping,1
shifting,1
scaling,1
table,6
transforms,2
radian,1
multiplexing,1
instantaneous,26
resolution,1
plotting,7
selective,1
filters,40
frequency-shift,1
keying,1
fsk,4
modem,8
frequency-domain,1
approach,1
representation,13
fundamental,42
period,60
gain,1
geometric,1
half-power,1
point,21
half-wave,1
rectifier,1
hamming,11
hann,5
harmonic,31
hertz,4
highpass,15
lowpass,24
time,123
iir,27
digital,29
image,60
gray-scale,1
imaginary,8
part,41
implementation,9
structures,1
improper,1
sequence,12
initial,1
rest,3
conditions,1
product,8
input-signal,1
linear,34
zero-order,1
hold,6
pulses,3
interpretation,9
formulas,23
l-point,1
running,19
lth,1
root,3
unity,1
laplace,1
left-sided,1
combination,1
time-invariant,1
local,1
loglog,1
parallel,1
magnitude,61
main,1
lobe,1
array,21
debugging,3
figure,11
windows,3
functions,59
command,81
m-file,1
pointwise,1
operations,4
printing,2
reshape,1
matrix,44
scripts,1
vectorizing,2
built-in,1
gui,35
con2dis,1
dconvdemo,1
dltidemo,7
zdrill,1
programming,5
variables,3
mixer,4
modulating,4
multimedia,1
information,3
multipath,7
multiplier,1
musical,4
score,5
narrowband,1
n-domain,1
negative,33
newton,1
law,1
noise,1
noncausal,1
nonlinear,1
normalized,17
nulling,22
nyquist,1
rate,49
octave,1
omega_hat-domain,1
one-dimensional,1
order,34
outer,4
output-signal,1
over-sampling,1
partial,1
fraction,1
expansion,1
passband,36
input,113
periodicity,1
e-j-omega_hat,1
phasor,12
physics,2
tuning,1
fork,1
piano,8
keyboard,7
pixel,1
graphics,1
polar,46
poles,39
pole-zero,1
polynomial,32
positive,37
principle,1
superposition,1
pam,1
quadrature,1
radix-2,1
rational,3
real,58
receiver,5
rectangular,7
recursive,1
reducing,1
modulo,1
2pi,1
region,22
relation,1
reverberation,1
riemann,1
room,2
rotating,1
disk,2
sample-and-hold,1
circuit,1
sampler,1
sample,17
spacing,2
sampling,96
view,8
under-sampling,1
theorem,4
second-order,1
shannon,1
shannon/nyquist,1
sidebands,1
side,5
lobes,1
sine,15
sinusoidal,54
two-dimensional,1
video,1
sinewave,1
single-sideband,1
ssb,1
single,29
ssbam,1
change,3
steady-state,1
sinusoid,87
sinusoid-in,1
sinusoid-out,1
sinusoids,35
smoothing,1
sp,15
toolbox,11
spectgr,1
specgram,11
spectral,5
components,9
line,141
spectrograms,3
square-law,1
squarer,1
general,9
mathematical,5
condition,1
stable,2
stepped,1
stopband,13
strobe,1
demonstration,1
suddenly,1
applied,6
support,3
synchronous,1
synthetic,1
vowel,1
differential,1
equations,2
3-domain,1
movie,3
time-delay,1
z-transforms,1
time-dependent,1
time-domain,1
time-flip,1
time-frequency,1
invariance,1
time-varying,1
time-waveform,1
time-windowing,1
transient,1
transition,1
transmitter,9
transposed,1
triangle,1
trigonometric,2
identities,1
tukey,1
uncertainty,1
circle,17
unit-delay,1
unstable,1
von,5
weighted,1
wideband,2
writing,12
z-domain,1
z-plane,1
pair,21
zero-padding,1
zeros,83
